title,loc_url,iiif_sample
"The bee (Earlington, Ky.), December 8, 1898",http://www.loc.gov/item/sn87060004/1898-12-08/ed-1/,https://tile.loc.gov/image-services/iiif/service:ndnp:kyu:batch_kyu_aluminum_ver01:data:sn87060004:0017504615A:1898120801:0449/full/pct:6.25/0/default.jpg#h=492&w=377
"The Key West citizen (Key West, Fla.), November 16, 1946",http://www.loc.gov/item/sn83016244/1946-11-16/ed-1/,https://tile.loc.gov/image-services/iiif/service:ndnp:fu:batch_fu_downtown_ver02:data:sn83016244:00414180784:1946111601:0301/full/pct:3.125/0/default.jpg#h=275&w=205
"Arkansas state gazette (Little Rock, Ark.), March 30, 1848",http://www.loc.gov/item/sn82016481/1848-03-30/ed-1/,https://tile.loc.gov/image-services/iiif/service:ndnp:arhi:batch_arhi_fluorite_ver01:data:sn82016481:00516990715:1848033001:0369/full/pct:6.25/0/default.jpg#h=416&w=292
"Frostburg mining journal (Frostburg, Md.), November 10, 1900",http://www.loc.gov/item/sn85025350/1900-11-10/ed-1/,https://tile.loc.gov/image-services/iiif/service:ndnp:mdu:batch_mdu_annapolis_ver02:data:sn85025350:00415627658:1900111001:0429/full/pct:3.125/0/default.jpg#h=279&w=210
"The Monett times (Monett, Mo.), April 5, 1918, (WEEKLY EDITION)",http://www.loc.gov/item/sn90061308/1918-04-05/ed-1/,https://tile.loc.gov/image-services/iiif/service:ndnp:mohi:batch_mohi_dagwood_ver01:data:sn90061308:00294555833:1918040501:1054/full/pct:6.25/0/default.jpg#h=411&w=283
"The Mountain echo (Yellville, Ark.), September 12, 1913",http://www.loc.gov/item/sn88051124/1913-09-12/ed-1/,https://tile.loc.gov/image-services/iiif/service:ndnp:arhi:batch_arhi_galena_ver01:data:sn88051124:00516990235:1913091201:0128/full/pct:6.25/0/default.jpg#h=398&w=274
George D. Hess Collection,http://www.loc.gov/item/afc2001001.19801/,https://tile.loc.gov/streaming-services/iiif/service:vhp:0198:019801:afc2001001_019801_sr0001001/info.json
"The Key West citizen (Key West, Fla.), July 23, 1926",http://www.loc.gov/item/sn83016244/1926-07-23/ed-1/,https://tile.loc.gov/image-services/iiif/service:ndnp:fu:batch_fu_bathouse_ver01:data:sn83016244:00271760772:1926072301:0137/full/pct:3.125/0/default.jpg#h=263&w=206
"""SECRECY SURROUNDS NORTH VIETNAM ATROCTIES,"" ARTICLE FROM HUMAN EVENTS",http://www.loc.gov/item/powmia/pwmaster_157526/,https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:angolacountrystu00coll_0:angolacountrystu00coll_0_0005/full/pct:6.25/0/default.jpg
"The Colorado statesman (Denver, Colo.), June 21, 1913",http://www.loc.gov/item/sn83025514/1913-06-21/ed-1/,https://tile.loc.gov/image-services/iiif/service:ndnp:cohi:batch_cohi_hamilton_ver01:data:sn83025514:00340586359:1913062101:0609/full/pct:6.25/0/default.jpg#h=340&w=251
"Blue Ridge Parkway, North Carolina/Virginia",http://www.loc.gov/item/2008626650/,https://tile.loc.gov/image-services/iiif/service:gmd:gmd390:g3902:g3902b:ct009598/full/pct:12.5/0/default.jpg#h=1769&w=657
"The Leavenworth echo (Leavenworth, Wash.), May 4, 1917",http://www.loc.gov/item/sn87093039/1917-05-04/ed-1/,https://tile.loc.gov/image-services/iiif/service:ndnp:wa:batch_wa_cedar_ver01:data:sn87093039:0021110059A:1917050401:0106/full/pct:6.25/0/default.jpg#h=404&w=297
[Image from LOOK - Job 67-3384 titled Barbara Bain],http://www.loc.gov/item/2021685766/,https://tile.loc.gov/image-services/iiif/service:afc:afc1986022:afc1986022_ms1502:0001/full/pct:12.5/0/default.jpg
"Code of Federal Regulations: Legal Services, General Counsel, 38 C.F.R. (1969)",http://www.loc.gov/item/cfr1969080-T38CIP14/,https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:installationcomm00unse:installationcomm00unse_0001/full/pct:12.5/0/default.jpg
"Atlanta daily world (Atlanta, Georgia), February 24, 1936, (City Edition)",http://www.loc.gov/item/sn82015425/1936-02-24/ed-1/,https://tile.loc.gov/image-services/iiif/service:ndnp:gu:batch_gu_cthulhu_ver03:data:sn82015425:00529040374:1936022401:0373/full/pct:3.125/0/default.jpg#h=293&w=231
"The Beatrice daily express (Beatrice, Neb.), May 26, 1908",http://www.loc.gov/item/sn84020107/1908-05-26/ed-1/,https://tile.loc.gov/image-services/iiif/service:ndnp:nbu:batch_nbu_finch_ver01:data:sn84020107:00517014874:1908052601:0574/full/pct:6.25/0/default.jpg#h=436&w=322
"Presidio of San Francisco, Mason Street Warehouses, San Francisco, San Francisco County, CA",http://www.loc.gov/item/ca4242/,https://tile.loc.gov/image-services/iiif/service:ll:llserialsetce:01:33:2_:00:_0:0:01332_00_00:01332_00_00-009-0065-0000:0077/full/pct:12.5/0/default.jpg#h=425&w=265
"Abraham Lincoln papers: Series 1. General Correspondence. 1833-1916: Thomas E. H. Cottman to Abraham Lincoln, Wednesday, December 10, 1862 (Introduction)",http://www.loc.gov/item/mal2003000/,https://tile.loc.gov/image-services/iiif/service:mss:mal:200:2003000:001/full/pct:6.25/0/default.jpg#h=317&w=207
"The Lewiston teller (Lewiston, Idaho), January 3, 1905",http://www.loc.gov/item/sn89055112/1905-01-03/ed-1/,https://tile.loc.gov/image-services/iiif/service:ndnp:idhi:batch_idhi_irving_ver01:data:sn89055112:00295867899:1905010301:0242/full/pct:6.25/0/default.jpg#h=420&w=286
"Returned Amer. prisoners of war marching into Vichy. Dec. 10th upon their return from Amer. Prison Camp at Rastatt, Germany where the total of 2700 were quartered",http://www.loc.gov/item/2017668880/,https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:historyofuniteds00swan:historyofuniteds00swan_0009/full/pct:12.5/0/default.jpg
"Milford chronicle (Milford, Del.), August 10, 1934",http://www.loc.gov/item/sn87062224/1934-08-10/ed-1/,https://tile.loc.gov/image-services/iiif/service:ndnp:deu:batch_deu_elektra_ver01:data:sn87062224:0051415658A:1934081001:0374/full/pct:6.25/0/default.jpg#h=388&w=327
"Der Deutsche correspondent (Baltimore, Md.), March 9, 1877",http://www.loc.gov/item/sn83016118/1877-03-09/ed-1/,https://tile.loc.gov/image-services/iiif/service:ndnp:mdu:batch_mdu_kale_ver01:data:sn83016118:00296026426:1877030901:0248/full/pct:3.125/0/default.jpg#h=309&w=226
"Le messager (Lewiston, Me.), October 21, 1938",http://www.loc.gov/item/sn83045313/1938-10-21/ed-1/,https://tile.loc.gov/image-services/iiif/service:ndnp:me:batch_me_franco_ver01:data:sn83045313:00542860807:1938102101:0750/full/pct:6.25/0/default.jpg#h=421&w=320
"Rachel D. Moore, home management supervisor, demonstrating use of pressure cooker to Almary Kelly. On La Delta Project, Thomastown, Louisiana",http://www.loc.gov/item/2017803117/,https://tile.loc.gov/image-services/iiif/service:gmd:gmd401:g4013:g4013m:la000256/full/pct:12.5/0/default.jpg#h=1192&w=1544
"The Washington times (Washington [D.C.]), December 21, 1916, (HOME EDITION)",http://www.loc.gov/item/sn84026749/1916-12-21/ed-1/,https://tile.loc.gov/image-services/iiif/service:ndnp:dlc:batch_dlc_ghana_ver01:data:sn84026749:00207908885:1916122101:0445/full/pct:6.25/0/default.jpg#h=424&w=319
"This delightful assemblage of vintage collectibles along a highway in Pinson, Tennessee, has no visible name or owner and it's free for the looking and enjoyment",http://www.loc.gov/item/2021756970/,https://tile.loc.gov/image-services/iiif/service:ndnp:dlc:batch_dlc_kingman_ver01:data:sn83025727:00220720457:1900012701:0001/full/pct:3.125/0/default.jpg#h=297&w=195
