chapter	section	greek	english	src_idx	tgt_idx	score
1	10	πλὴν	though	0	0	0.5924
1	10	οἱ	with	1	5	0.4851
1	10	ἄνθρωποί	people	2	6	0.6592
1	10	συνάπτοντες	tack	4	8	0.5788
1	10	τῷ	a	5	15	0.4938
1	10	μέτρῳ	metre	6	16	0.6273
1	10	τὸ	to	7	7	0.506
1	10	ποιεῖν	work	8	38	0.5347
1	10	ἐλεγειοποιοὺς	elegiac-poets	9	20	0.6996
1	10	τοὺς	them	10	27	0.4942
1	10	δὲ	and	11	21	0.5986
1	10	ἐποποιοὺς	epic-poets	12	22	0.7311
1	10	ὀνομάζουσιν	call	13	26	0.7411
1	10	οὐχ	not	14	29	0.7799
1	10	ὡς	reason	15	31	0.5715
1	10	κατὰ	by	16	30	0.697
1	10	τὴν	the	17	33	0.6306
1	10	μίμησιν	imitative	18	34	0.6071
1	10	ποιητὰς	poets	19	28	0.7597
1	10	ἀλλὰ	but	20	39	0.7902
1	10	κοινῇ	indiscriminately	21	40	0.5812
1	10	κατὰ	by	22	41	0.6377
1	10	τὸ	the	23	44	0.6636
1	10	μέτρον	metre	24	45	0.6658
1	10	προσαγορεύοντες	write	25	47	0.6376
1	11	καὶ	Even	0	0	0.7189
1	11	ἂν	if	2	1	0.6999
1	11	ἰατρικὸν	medicine	3	5	0.7241
1	11	ἢ	or	4	6	0.7746
1	11	φυσικόν	physical	5	7	0.739
1	11	τι	a	6	2	0.4969
1	11	διὰ	in	7	12	0.5064
1	11	τῶν	a	8	13	0.4882
1	11	μέτρων	metrical	9	14	0.5863
1	11	ἐκφέρωσιν	put	10	10	0.688
1	11	οὕτω	this	11	24	0.6401
1	11	καλεῖν	describe	12	20	0.6728
1	11	εἰώθασιν	usual	13	18	0.5838
1	11	οὐδὲν	nothing	14	32	0.7513
1	11	δὲ	however	15	29	0.4963
1	11	κοινόν	common	16	34	0.7127
1	11	ἐστιν	have	17	30	0.5501
1	11	Ὁμήρῳ	Homer	18	26	0.628
1	11	καὶ	and	19	27	0.6625
1	11	Ἐμπεδοκλεῖ	Empedocles	20	28	0.6765
1	11	πλὴν	apart	21	35	0.6096
1	11	τὸ	their	22	37	0.6294
1	11	μέτρον	metre	23	38	0.7195
1	11	διὸ	so	24	39	0.6575
1	11	τὸν	the	25	42	0.7264
1	11	μὲν	one	26	43	0.6131
1	11	ποιητὴν	poet	27	49	0.6616
1	11	δίκαιον	is	28	44	0.4795
1	11	καλεῖν	called	29	47	0.7237
1	11	τὸν	the	30	50	0.6866
1	11	δὲ	other	31	51	0.5441
1	11	φυσιολόγον	physicist	32	56	0.7064
1	11	μᾶλλον	rather	33	57	0.6297
1	11	ἢ	than	34	58	0.7663
1	11	ποιητήν	poet	35	60	0.8232
1	12	ὁμοίως	same	0	5	0.6699
1	12	δὲ	also	1	7	0.4539
1	12	κἂν	should	2	1	0.6849
1	12	εἴ	if	3	8	0.7382
1	12	ἅπαντα	all	5	16	0.6938
1	12	τὰ	the	6	17	0.7059
1	12	μέτρα	metres	7	18	0.7209
1	12	μιγνύων	were	8	14	0.5182
1	12	ποιοῖτο	We	9	0	0.4746
1	12	τὴν	the	10	9	0.6242
1	12	μίμησιν	imitation	11	10	0.6499
1	12	καθάπερ	like	12	19	0.7268
1	12	Χαιρήμων	the	13	20	0.5425
1	12	Κένταυρον	Centaur	15	21	0.6665
1	12	μικτὴν	medley	16	26	0.5643
1	12	ῥαψῳδίαν	rhapsody	17	23	0.6358
1	12	ἐξ	of	18	27	0.5729
1	12	ἁπάντων	all	19	28	0.7792
1	12	μέτρων	metres	21	29	0.7192
1	12	καὶ	and	22	32	0.6058
1	12	ποιητὴν	poet	23	40	0.672
1	12	προσαγορευτέον	recognize	24	37	0.6569
1	12	περὶ	to	25	45	0.5325
1	12	μὲν	So	26	41	0.5309
1	12	οὖν	then	27	43	0.6082
1	12	τούτων	these	28	46	0.6654
1	12	διωρίσθω	to	29	36	0.4772
1	12	τοῦτον	the	30	4	0.402
1	12	τρόπον	arts	32	47	0.5218
1	13	εἰσὶ	are	0	1	0.8098
1	13	δέ	lastly	1	2	0.5997
1	13	τινες	certain	2	3	0.7596
1	13	αἳ	which	3	6	0.7299
1	13	πᾶσι	all	4	8	0.7865
1	13	χρῶνται	combine	5	7	0.6221
1	13	τοῖς	the	6	9	0.6197
1	13	εἰρημένοις	enumerated	7	11	0.5949
1	13	ῥυθμῷ	rhythm	11	12	0.6631
1	13	μέλει	melody	13	13	0.6196
1	13	καὶ	and	14	14	0.7133
1	13	μέτρῳ	verse	15	15	0.6786
1	13	ὥσπερ	e.g	16	16	0.5755
1	13	διθυραμβικῶν	Dithyrambic	20	17	0.6351
1	13	ποίησις	poetry	21	20	0.5467
1	13	καὶ	and	22	18	0.4967
1	13	νόμων	Nomic	25	19	0.5693
1	13	τραγῳδία	Tragedy	29	21	0.5833
1	13	καὶ	and	30	22	0.6575
1	13	κωμῳδία	Comedy	32	23	0.6874
1	13	διαφέρουσι	difference	33	26	0.5549
1	13	δὲ	however	34	27	0.5551
1	13	ὅτι	that	35	28	0.6353
1	13	αἱ	some	36	36	0.6574
1	13	μὲν	one	37	48	0.5104
1	13	ἅμα	together	38	41	0.6001
1	13	πᾶσιν	all	39	39	0.6498
1	13	αἱ	others	40	44	0.6676
1	13	δὲ	and	41	42	0.6902
1	13	κατὰ	after	42	49	0.5873
1	13	μέρος	other	43	51	0.5843
1	14	ταύτας	These	0	0	0.7415
1	14	λέγω	term	3	9	0.607
1	14	τὰς	the	4	10	0.5586
1	14	διαφορὰς	difference	5	3	0.618
1	14	τῶν	the	6	5	0.5877
